FMR_Area,FMR_0Bed,FMR_1Bed,FMR_2Bed,FMR_3Bed,FMR_4Bed,State,msa,county,CountyName,MSAName,stco,pop2000,State_Alpha,FMR_Type
8840,915,1045,1187,1537,2000,51,8840,61,Fauquier County,"Washington, DC--MD--VA--WV PMSA",51061,55139,VA,50
8840,915,1045,1187,1537,2000,51,8840,107,Loudoun County,"Washington, DC--MD--VA--WV PMSA",51107,169599,VA,50
8840,915,1045,1187,1537,2000,51,8840,153,Prince William County,"Washington, DC--MD--VA--WV PMSA",51153,280813,VA,50
8840,915,1045,1187,1537,2000,51,8840,177,Spotsylvania County,"Washington, DC--MD--VA--WV PMSA",51177,90395,VA,50
8840,915,1045,1187,1537,2000,51,8840,179,Stafford County,"Washington, DC--MD--VA--WV PMSA",51179,92446,VA,50
8840,915,1045,1187,1537,2000,51,8840,510,Alexandria city,"Washington, DC--MD--VA--WV PMSA",51510,128283,VA,50
8840,915,1045,1187,1537,2000,51,8840,600,Fairfax city,"Washington, DC--MD--VA--WV PMSA",51600,21498,VA,50
8840,915,1045,1187,1537,2000,51,8840,610,Falls Church city,"Washington, DC--MD--VA--WV PMSA",51610,10377,VA,50
8840,915,1045,1187,1537,2000,51,8840,630,Fredericksburg city,"Washington, DC--MD--VA--WV PMSA",51630,19279,VA,50
8840,915,1045,1187,1537,2000,51,8840,683,Manassas city,"Washington, DC--MD--VA--WV PMSA",51683,35135,VA,50
8840,915,1045,1187,1537,2000,51,8840,685,Manassas Park city,"Washington, DC--MD--VA--WV PMSA",51685,10290,VA,50
510000001,321,439,494,600,739,51,9999,1,Accomack County,Accomack County,51001,38305,VA,40
510000005,299,383,460,559,583,51,9999,5,Alleghany County,Alleghany County,51580,23518,VA,40
510000007,376,406,452,581,735,51,9999,7,Amelia County,Amelia County,51007,11400,VA,40
510000011,391,413,469,581,736,51,9999,11,Appomattox County,Appomattox County,51011,13705,VA,40
510000015,409,421,549,785,903,51,9999,15,Augusta County,Augusta County,51820,108988,VA,40
510000017,401,417,518,715,863,51,9999,17,Bath County,Bath County,51017,5048,VA,40
510000021,363,376,436,556,618,51,9999,21,Bland County,Bland County,51021,6871,VA,40
510000025,403,416,485,605,837,51,9999,25,Brunswick County,Brunswick County,51025,18419,VA,40
510000027,363,376,436,556,618,51,9999,27,Buchanan County,Buchanan County,51027,26978,VA,40
510000029,376,406,452,581,735,51,9999,29,Buckingham County,Buckingham County,51029,15623,VA,40
510000033,387,464,595,852,876,51,9999,33,Caroline County,Caroline County,51033,22121,VA,40
510000035,364,395,438,525,584,51,9999,35,Carroll County,Carroll County,51640,36082,VA,40
510000037,376,406,452,581,735,51,9999,37,Charlotte County,Charlotte County,51037,12472,VA,40
510000045,401,417,518,715,863,51,9999,45,Craig County,Craig County,51045,5091,VA,40
510000049,376,406,452,581,735,51,9999,49,Cumberland County,Cumberland County,51049,9017,VA,40
510000051,338,362,406,530,545,51,9999,51,Dickenson County,Dickenson County,51051,16395,VA,40
510000057,377,465,573,780,804,51,9999,57,Essex County,Essex County,51057,9989,VA,40
510000063,430,468,519,722,914,51,9999,63,Floyd County,Floyd County,51063,13874,VA,40
510000067,294,352,453,542,577,51,9999,67,Franklin County,Franklin County,51067,47286,VA,40
510000069,439,490,647,905,931,51,9999,69,Frederick County,Frederick County,51840,82794,VA,40
510000071,284,368,436,556,767,51,9999,71,Giles County,Giles County,51071,16657,VA,40
510000077,363,376,436,556,618,51,9999,77,Grayson County,Grayson County,51077,17917,VA,40
510000081,404,438,486,587,729,51,9999,81,Greensville County,Greensville County,51081,17225,VA,40
510000083,275,382,423,568,743,51,9999,83,Halifax County,Halifax County,51083,37355,VA,40
510000089,338,352,439,563,645,51,9999,89,Henry County,Henry County,51690,73346,VA,40
510000091,401,417,518,715,863,51,9999,91,Highland County,Highland County,51091,2536,VA,40
510000097,377,464,565,688,709,51,9999,97,King and Queen County,King and Queen County,51097,6630,VA,40
510000101,377,464,565,691,711,51,9999,101,King William County,King William County,51101,13146,VA,40
